time,x,y,vec
5339693,1249.7461,331.56738,0.0
5339701,1246.0547,331.43555,1.7824639893265104
5339710,1238.7891,331.50146,8.179037802861897
5339712,1237.499,331.51318,5.109359611224901
5339720,1233.2227,331.56738,3.7137088063405037
5339728,1219.9805,333.1494,11.175214511923624
5339729,1218.5464,333.32074,6.754130854971971
5339737,1203.9258,336.18164,11.311780548456573
5339745,1188.0964,339.88647,16.496294550375893
5339746,1187.168,340.10376,10.401578664180919
5339755,1170.0586,345.24536,12.487334781898394
5339762,1155.9801,350.33624,14.67484635944214
5339763,1152.832,351.4746,9.614017699646494
5339772,1136.3672,358.49487,11.517199771187398
5339779,1125.1947,363.8286,12.407268125173395
5339781,1120.4883,366.07544,8.729866836430375
5339790,1106.7188,374.18335,10.551143022338707
5339795,1099.834,378.2373,9.607395205742474
5339800,1098.1641,379.58862,4.868736752110009
5339808,1088.4375,387.46582,6.1832824683013525
5339812,1083.8287,391.1983,6.031593777277147
5339817,1080.4102,395.1123,5.2240346105788555
5339826,1075.7812,401.34155,6.04224005676332
5339829,1074.5461,403.0037,4.228734204556637
5339835,1074.9609,406.21948,2.75941853595776
5339844,1077.6562,409.71313,3.750944619138078
5339845,1077.9227,410.0585,3.419692390136951
5339854,1080.1758,411.6577,3.5084772003615243
5339862,1090.8878,413.0314,7.87349934761461
5339862,1091.4844,413.1079,6.52774253454346
5339871,1106.9531,414.52515,11.237863428844621
5339879,1121.3425,416.1651,15.779168854707661
5339880,1124.8828,416.5686,12.311251658799613
5339890,1134.4922,417.91992,9.838944962346737
5339895,1143.6731,419.6663,8.175116791871579
5339897,1146.6211,420.22705,3.9850967260907084
5339906,1160.8594,423.75366,6.755521858311796
5339912,1170.8691,426.77902,9.26234404095054
5339915,1176.5625,428.49976,8.52498235726716
5339924,1192.793,434.46533,13.027460670986326
5339929,1200.56,437.32013,13.011259327701985
5339933,1208.1445,441.12305,11.169768204854172
5339942,1221.1523,447.81372,12.440925170278607
5339945,1225.6611,450.13284,9.152461288074285
5339952,1230.8789,454.20776,6.064675233845016
5339960,1236.6211,460.14038,5.360350893274136
5339962,1237.7155,461.271,2.786125105272264
5339970,1238.3203,465.6775,3.239041136652414
5339978,1236.1523,471.01685,5.522209680695769
5339979,1236.1255,471.0829,4.407673604906443
5339987,1230.4688,476.15845,6.104919649802838
5339995,1223.0734,480.8597,8.656362737677352
5339996,1221.9141,481.59668,6.333630445842229
5340005,1211.1914,487.43042,8.573768721495794
5340012,1202.4061,492.1299,10.39082311725925
5340014,1199.2383,493.82446,7.764079432473128
5340023,1186.5234,500.84473,10.139558008339378
5340029,1179.0981,505.31836,10.350952798947642
5340032,1174.1602,508.29346,7.996477698002958
5340041,1162.7344,515.9729,9.795338114454761
5340045,1158.0889,519.0953,8.137754068346956
5340050,1153.0664,523.5864,6.399681386072099
5340059,1145.5078,531.0681,7.500564827003352
5340062,1143.3322,533.22156,5.328075588979214
5340070,1140.7031,538.18726,4.281232563506571
5340077,1138.7695,545.10864,5.27032680200238
5340079,1138.4293,546.32635,3.666963560656798
5340087,1140.0,551.8323,4.354730932325471
5340095,1144.5117,558.5559,7.044330937446075
5340095,1144.693,558.8261,5.17019480393588
5340104,1152.1289,565.708,7.335653354611351
5340112,1161.0933,572.73346,10.78086269072881
5340113,1162.5586,573.88184,8.087802269085001
5340122,1175.2148,583.34106,11.293190712910882
5340129,1184.4199,590.56854,13.226307148293987
5340132,1189.2773,594.3823,10.760749882320322
5340141,1203.6328,607.13745,14.347967670528346
5340145,1210.0867,612.8719,13.10212830498604
5340149,1216.9922,621.178,11.465786729128146
5340158,1228.3008,636.3721,14.679019664596465
5340162,1233.2098,642.9679,12.756976536723045
5340168,1236.7969,652.5879,10.645245075378607
5340176,1242.1289,669.72656,13.602458076143854
5340179,1243.5615,674.33124,10.328907329645022
5340185,1244.1797,687.88696,10.672216962397261
5340194,1242.832,707.59644,15.70883324757591
5340195,1242.6566,710.16113,11.349672960202444
5340203,1238.3789,729.3823,14.075310671755014
5340212,1230.9518,753.46045,21.473300645081142
5340212,1230.7031,754.26636,14.588243568964709
5340221,1222.3242,777.7661,17.389463543772745
5340221,1222.3242,777.7661,9.137822155664155

